matrixname,type,dim,nbnnz,nbnnzperrow,hsum,factox,scalar,1rVc,2rVc,4rVc,8rVc,1rVcpar,2rVcpar,4rVcpar,8rVcpar,valvec1vs,ratio1vs,valvec2vs,ratio2vs,valvec4vs,ratio4vs,valvec8vs,ratio8vs
in-2004,double,1382908,16917053,12.233,yes,no,0.33528,0.457029,0.593855,0.596429,0.527777,14.1902,18.9263,19.75,17.9809,3.8456,48.07,6.23977,38.99,9.63549,30.11,13.8048,21.57
in-2004,double,1382908,16917053,12.233,yes,yes,0.335278,0.457029,0.613565,0.711475,0.505279,14.1462,18.497,23.8115,16.9536,3.8456,48.07,6.23977,38.99,9.63549,30.11,13.8048,21.57
in-2004,float,1382908,16917053,12.233,yes,yes,0.340649,0.465207,0.682525,0.860654,0.645038,13.9905,22.3472,26.4201,22.9562,5.05545,31.59,8.19896,25.62,12.7695,19.95,18.7614,14.65
in-2004,float,1382908,16917053,12.233,yes,no,0.340624,0.465316,0.627648,0.637824,0.624237,14.0024,20.9253,19.1698,21.216,5.05545,31.59,8.19896,25.62,12.7695,19.95,18.7614,14.65
ldoor,double,952203,46522475,48.8577,no,no,0.350335,1.16135,1.30061,1.29062,1.14698,43.4184,46.4311,44.7559,40.6716,6.99245,87.40,12.6971,79.35,21.4457,67.01,32.7222,51.12
ldoor,double,952203,46522475,48.8577,no,yes,0.350308,1.16027,1.34164,1.47374,1.08139,43.4152,47.0017,49.1043,38.9016,6.99245,87.40,12.6971,79.35,21.4457,67.01,32.7222,51.12
ldoor,float,952203,46522475,48.8577,no,yes,0.357181,1.3406,1.56427,1.95886,1.47966,53.1799,59.756,67.4341,52.0321,8.95403,55.96,16.4252,51.32,28.1874,44.04,43.9071,34.30
ldoor,float,952203,46522475,48.8577,no,no,0.357204,1.33996,1.49293,1.58764,1.50894,52.9611,57.9124,59.613,54.7944,8.95403,55.96,16.4252,51.32,28.1874,44.04,43.9071,34.30
ldoor,double,952203,46522475,48.8577,yes,no,0.35032,1.16155,1.3013,1.29167,1.14671,43.4571,46.1823,44.7714,40.7689,6.99245,87.40,12.6971,79.35,21.4457,67.01,32.7222,51.12
ldoor,double,952203,46522475,48.8577,yes,yes,0.350317,1.16058,1.34105,1.47457,1.11881,43.4288,46.6877,49.1269,38.9056,6.99245,87.40,12.6971,79.35,21.4457,67.01,32.7222,51.12
